ts_milliseconds,frame_number,person_total,person_in_roi
20034,581,0,0
20068,582,0,0
20103,583,0,0
20137,584,0,0
20172,585,0,0
20206,586,0,0
20241,587,0,0
20275,588,0,0
20310,589,0,0
20344,590,0,0
20379,591,0,0
20413,592,0,0
20448,593,0,0
20482,594,0,0
20517,595,0,0
20551,596,0,0
20586,597,0,0
20620,598,0,0
20655,599,0,0
20689,600,0,0
20724,601,0,0
20758,602,0,0
20793,603,0,0
20827,604,0,0
20862,605,0,0
20896,606,0,0
20931,607,0,0
20965,608,0,0
21000,609,0,0
21034,610,0,0
21068,611,0,0
21103,612,0,0
21137,613,0,0
21172,614,0,0
21206,615,0,0
21241,616,0,0
21275,617,0,0
21310,618,0,0
21344,619,0,0
21379,620,0,0
21413,621,0,0
21448,622,0,0
21482,623,0,0
21517,624,0,0
21551,625,0,0
21586,626,0,0
21620,627,0,0
21655,628,0,0
21689,629,0,0
21724,630,0,0
21758,631,0,0
21793,632,0,0
21827,633,0,0
21862,634,0,0
21896,635,0,0
21931,636,0,0
21965,637,0,0
22000,638,0,0
22034,639,0,0
22068,640,0,0
22103,641,0,0
22137,642,0,0
22172,643,0,0
22206,644,0,0
22241,645,0,0
22275,646,0,0
22310,647,0,0
22344,648,0,0
22379,649,0,0
22413,650,0,0
22448,651,0,0
22482,652,0,0
22517,653,0,0
22551,654,0,0
22586,655,0,0
22620,656,0,0
22655,657,0,0
22689,658,0,0
22724,659,0,0
22758,660,0,0
22793,661,0,0
22827,662,0,0
22862,663,0,0
22896,664,0,0
22931,665,0,0
22965,666,0,0
23000,667,0,0
23034,668,0,0
23068,669,0,0
23103,670,0,0
23137,671,0,0
23172,672,0,0
23206,673,0,0
23241,674,0,0
23275,675,0,0
23310,676,0,0
23344,677,0,0
23379,678,0,0
23413,679,0,0
23448,680,0,0
23482,681,0,0
23517,682,0,0
23551,683,0,0
23586,684,0,0
23620,685,0,0
23655,686,0,0
23689,687,0,0
23724,688,0,0
23758,689,0,0
23793,690,0,0
23827,691,0,0
23862,692,0,0
23896,693,0,0
23931,694,0,0
23965,695,0,0
24000,696,0,0
